100 CUP 0.187223	 Value: -75
200 CUP 0.317241	 Value: -150
300 CUP 0.48911	         Value: -225
400 CUP 0.716639	 Value: -300
500 CUP 0.754328	 Value: -375





// MIP_tree
 50  CUP 0.028289	   Value: -41.5556 CUP 0.14193	 Value: -38  
 100 CUP 0.035931         Value: -83.2222  CUP 0.158864	 Value: -75  
 150 CUP 0.055098         Value: -124.889  CUP 0.269541	 Value: -113 
 200 CUP 0.075917         Value: -166.556  CUP 0.354452	 Value: -150 
 250 CUP 0.076638         Value: -208.222  CUP 0.438137	 Value: -188 
	 
	 
	 

// Node-edge
50 CUP 0.051889	         Value: -72 50 CUP 1088.65	 Value: -38
100 CUP 0.084957	 Value: -147
150 CUP 0.133632	 Value: -222
200 CUP 0.218884	 Value: -297
250 CUP 0.306439	 Value: -372



// k = 4 Node-edge
50 CUP 0.085841	         Value: -94
100 CUP 0.152034	 Value: -194
150 CUP 0.367295	 Value: -294
200 CUP 0.29541	        Value: -394
250 CUP 0.383094	 Value: -494


//k =4 MIP_tree
50 CUP 0.022928	         Value: -41.5556       CUP 0.078319        Value: -38
100 CUP 0.036631	 Value: -83.2222       CUP 0.168765        Value: -75
150 CUP 0.055619	 Value: -124.889       CUP 0.294348        Value: -113
200 CUP 0.080736	 Value: -166.556       CUP 0.349477        Value: -150
250 CUP 0.07605	         Value: -208.222       CUP 0.419094        Value: -188

 	 
 	 
 	 
 	 
 	 
