50 235
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
2 3 -1
2 4 -1
2 5 -1
2 6 -1
2 7 -1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
4 5 -1
4 6 -1
4 7 -1
4 8 -1
4 9 -1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
6 7 -1
6 8 -1
6 9 -1
6 10 -1
6 11 -1
7 8 1
7 9 1
7 10 1
7 11 1
7 12 1
8 9 -1
8 10 -1
8 11 -1
8 12 -1
8 13 -1
9 10 1
9 11 1
9 12 1
9 13 1
9 14 1
10 11 -1
10 12 -1
10 13 -1
10 14 -1
10 15 -1
11 12 1
11 13 1
11 14 1
11 15 1
11 16 1
12 13 -1
12 14 -1
12 15 -1
12 16 -1
12 17 -1
13 14 1
13 15 1
13 16 1
13 17 1
13 18 1
14 15 -1
14 16 -1
14 17 -1
14 18 -1
14 19 -1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
16 17 -1
16 18 -1
16 19 -1
16 20 -1
16 21 -1
17 18 1
17 19 1
17 20 1
17 21 1
17 22 1
18 19 -1
18 20 -1
18 21 -1
18 22 -1
18 23 -1
19 20 1
19 21 1
19 22 1
19 23 1
19 24 1
20 21 -1
20 22 -1
20 23 -1
20 24 -1
20 25 -1
21 22 1
21 23 1
21 24 1
21 25 1
21 26 1
22 23 -1
22 24 -1
22 25 -1
22 26 -1
22 27 -1
23 24 1
23 25 1
23 26 1
23 27 1
23 28 1
24 25 -1
24 26 -1
24 27 -1
24 28 -1
24 29 -1
25 26 1
25 27 1
25 28 1
25 29 1
25 30 1
26 27 -1
26 28 -1
26 29 -1
26 30 -1
26 31 -1
27 28 1
27 29 1
27 30 1
27 31 1
27 32 1
28 29 -1
28 30 -1
28 31 -1
28 32 -1
28 33 -1
29 30 1
29 31 1
29 32 1
29 33 1
29 34 1
30 31 -1
30 32 -1
30 33 -1
30 34 -1
30 35 -1
31 32 1
31 33 1
31 34 1
31 35 1
31 36 1
32 33 -1
32 34 -1
32 35 -1
32 36 -1
32 37 -1
33 34 1
33 35 1
33 36 1
33 37 1
33 38 1
34 35 -1
34 36 -1
34 37 -1
34 38 -1
34 39 -1
35 36 1
35 37 1
35 38 1
35 39 1
35 40 1
36 37 -1
36 38 -1
36 39 -1
36 40 -1
36 41 -1
37 38 1
37 39 1
37 40 1
37 41 1
37 42 1
38 39 -1
38 40 -1
38 41 -1
38 42 -1
38 43 -1
39 40 1
39 41 1
39 42 1
39 43 1
39 44 1
40 41 -1
40 42 -1
40 43 -1
40 44 -1
40 45 -1
41 42 1
41 43 1
41 44 1
41 45 1
41 46 1
42 43 -1
42 44 -1
42 45 -1
42 46 -1
42 47 -1
43 44 1
43 45 1
43 46 1
43 47 1
43 48 1
44 45 -1
44 46 -1
44 47 -1
44 48 -1
44 49 -1
45 46 1
45 47 1
45 48 1
45 49 1
45 50 1
46 47 -1
46 48 -1
46 49 -1
46 50 -1
47 48 1
47 49 1
47 50 1
48 49 -1
48 50 -1
49 50 1
