90 401 
1 72 1
1 16 1
1 77 1
1 27 1
1 35 1
1 41 1
2 16 1
2 47 1
2 71 1
2 84 1
2 7 1
2 35 1
2 12 1
2 72 1
3 86 1
3 21 1
3 80 1
3 34 1
3 35 1
3 61 1
3 69 1
4 11 1
4 74 1
4 25 1
4 35 1
4 50 1
4 88 1
4 18 1
4 85 1
5 61 1
5 25 1
5 49 1
5 9 1
5 90 1
5 72 1
5 40 1
5 36 1
5 6 1
6 19 1
6 58 1
6 71 1
6 65 1
6 33 1
6 37 1
6 75 1
6 43 1
6 41 1
6 7 1
6 69 1
7 43 1
7 86 1
7 51 1
7 69 1
7 8 1
7 33 1
7 84 1
7 45 1
7 82 1
7 42 1
7 40 1
7 80 1
7 85 1
8 68 1
8 61 1
8 81 1
8 39 1
8 45 1
8 75 1
8 58 1
8 29 1
9 64 1
9 85 1
9 18 1
9 62 1
9 17 1
9 10 1
9 23 1
9 71 1
9 28 1
9 15 1
9 40 1
10 79 1
10 20 1
10 15 1
10 30 1
10 13 1
10 19 1
10 87 1
10 74 1
10 86 1
10 72 1
10 82 1
10 34 1
10 71 1
10 61 1
10 55 1
11 80 1
11 12 1
11 84 1
11 68 1
11 31 1
11 26 1
11 42 1
12 35 1
12 82 1
12 56 1
12 43 1
12 46 1
12 36 1
12 53 1
12 64 1
12 63 1
12 51 1
12 14 1
13 72 1
13 51 1
13 60 1
13 53 1
13 25 1
13 68 1
13 42 1
13 79 1
13 16 1
14 29 1
14 71 1
14 48 1
14 76 1
14 74 1
14 30 1
14 51 1
14 23 1
14 58 1
15 90 1
15 23 1
15 37 1
15 57 1
15 16 1
15 36 1
15 25 1
15 17 1
15 80 1
16 63 1
16 80 1
16 87 1
16 69 1
16 83 1
16 36 1
17 68 1
17 26 1
17 71 1
17 86 1
17 53 1
18 78 1
18 32 1
18 24 1
18 89 1
18 37 1
18 65 1
19 34 1
19 73 1
19 63 1
19 81 1
19 76 1
20 29 1
20 88 1
20 64 1
20 82 1
20 85 1
20 21 1
20 25 1
20 83 1
20 70 1
20 57 1
21 63 1
21 80 1
21 84 1
21 67 1
21 34 1
21 31 1
22 28 1
22 85 1
22 69 1
22 24 1
22 63 1
23 41 1
23 89 1
23 24 1
23 71 1
23 70 1
23 29 1
24 26 1
24 74 1
24 68 1
24 35 1
24 65 1
24 85 1
24 79 1
25 75 1
25 78 1
25 77 1
25 90 1
26 51 1
26 47 1
26 43 1
26 90 1
26 71 1
26 48 1
26 34 1
27 90 1
27 52 1
27 50 1
27 64 1
27 56 1
27 44 1
27 79 1
27 73 1
27 83 1
28 59 1
28 42 1
28 44 1
28 53 1
28 58 1
28 34 1
28 49 1
29 40 1
29 75 1
29 58 1
30 65 1
30 80 1
30 89 1
30 79 1
30 77 1
30 32 1
30 90 1
31 47 1
31 38 1
31 68 1
31 65 1
32 37 1
32 49 1
32 40 1
32 38 1
32 78 1
32 55 1
33 37 1
33 42 1
33 41 1
33 81 1
33 85 1
34 38 1
34 78 1
34 71 1
34 69 1
34 54 1
35 77 1
35 56 1
35 53 1
35 79 1
35 45 1
35 41 1
35 90 1
36 86 1
36 43 1
36 37 1
36 84 1
36 40 1
36 69 1
36 58 1
36 85 1
36 88 1
36 44 1
36 68 1
36 57 1
37 73 1
37 52 1
37 65 1
37 62 1
38 73 1
38 72 1
38 66 1
38 47 1
39 49 1
39 68 1
39 60 1
39 57 1
40 61 1
40 85 1
40 51 1
41 42 1
41 67 1
41 88 1
41 87 1
41 85 1
41 61 1
41 48 1
41 55 1
41 56 1
42 78 1
42 74 1
42 88 1
42 43 1
43 82 1
43 87 1
43 75 1
43 86 1
44 80 1
44 56 1
44 83 1
44 82 1
45 47 1
45 88 1
45 68 1
45 81 1
45 48 1
45 90 1
45 54 1
46 60 1
46 75 1
46 76 1
46 66 1
47 71 1
47 89 1
47 68 1
48 79 1
48 67 1
48 89 1
48 72 1
49 54 1
49 70 1
49 65 1
49 64 1
50 84 1
50 55 1
50 71 1
51 89 1
51 56 1
51 78 1
52 57 1
52 88 1
52 71 1
53 82 1
53 62 1
54 89 1
54 62 1
55 76 1
55 84 1
56 72 1
56 73 1
56 81 1
57 75 1
57 77 1
57 84 1
58 86 1
58 69 1
59 67 1
60 70 1
60 72 1
60 75 1
60 83 1
60 86 1
61 69 1
61 89 1
61 75 1
61 71 1
62 63 1
62 83 1
63 90 1
64 71 1
64 65 1
64 73 1
64 88 1
64 75 1
65 78 1
66 90 1
66 68 1
66 69 1
67 70 1
67 79 1
67 86 1
67 77 1
67 73 1
67 78 1
68 78 1
68 84 1
69 81 1
69 71 1
70 77 1
70 87 1
71 87 1
71 90 1
71 77 1
71 78 1
73 87 1
75 82 1
77 85 1
79 80 1
80 90 1
81 83 1
82 83 1
87 90 1
88 90 1
