121 242 
1 2 12914
2 3 18180
3 4 -58492
4 5 -40115
5 6 15307
6 7 42191
7 8 34620
8 9 -69349
9 10 132027
10 11 -59089
11 1 -172169
12 13 -18974
13 14 40732
14 15 38120
15 16 25723
16 17 136156
17 18 37583
18 19 -71497
19 20 -23323
20 21 37825
21 22 10908
22 12 157957
23 24 -30987
24 25 11265
25 26 61277
26 27 -29371
27 28 51112
28 29 77230
29 30 89771
30 31 -80847
31 32 -161932
32 33 -75532
33 23 -44912
34 35 -92736
35 36 -73888
36 37 -134602
37 38 -22457
38 39 -5526
39 40 105846
40 41 67836
41 42 28509
42 43 88254
43 44 95098
44 34 -106105
45 46 -110609
46 47 -27446
47 48 102285
48 49 -162330
49 50 110184
50 51 208200
51 52 -43830
52 53 -47049
53 54 186653
54 55 -138320
55 45 -82458
56 57 -57934
57 58 86771
58 59 80455
59 60 9440
60 61 149000
61 62 -20585
62 63 71238
63 64 -171964
64 65 -60431
65 66 -166014
66 56 83717
67 68 -165594
68 69 87587
69 70 42769
70 71 177465
71 72 107900
72 73 129664
73 74 -176537
74 75 -9584
75 76 -73075
76 77 -54568
77 67 14621
78 79 -118659
79 80 132433
80 81 -22715
81 82 32948
82 83 97685
83 84 -98520
84 85 15452
85 86 -132898
86 87 62430
87 88 5538
88 78 14464
89 90 -130296
90 91 -146398
91 92 41429
92 93 -6234
93 94 75597
94 95 -15442
95 96 44666
96 97 113966
97 98 103045
98 99 22018
99 89 -49152
100 101 -63944
101 102 -175606
102 103 -74351
103 104 -81261
104 105 97183
105 106 24559
106 107 -10995
107 108 97509
108 109 118346
109 110 70554
110 100 74225
111 112 34544
112 113 -244516
113 114 -89845
114 115 -8239
115 116 108695
116 117 -19968
117 118 34762
118 119 -200737
119 120 -107289
120 121 -99431
121 111 -8715
1 12 76926
2 13 151176
3 14 68849
4 15 75233
5 16 39170
6 17 -41723
7 18 -137862
8 19 -145259
9 20 42922
10 21 33770
11 22 99956
12 23 105116
13 24 165546
14 25 157855
15 26 96999
16 27 18228
17 28 133693
18 29 195645
19 30 96426
20 31 -141522
21 32 -30651
22 33 75908
23 34 159124
24 35 -190447
25 36 109316
26 37 115588
27 38 -50847
28 39 -68133
29 40 97330
30 41 -5619
31 42 2912
32 43 34081
33 44 -104214
34 45 63164
35 46 -93832
36 47 131247
37 48 -38462
38 49 109712
39 50 -16823
40 51 55962
41 52 -257664
42 53 31858
43 54 -78688
44 55 39052
45 56 -76475
46 57 -41764
47 58 -91314
48 59 172987
49 60 136793
50 61 -65051
51 62 71786
52 63 103747
53 64 -5774
54 65 95005
55 66 -9476
56 67 77337
57 68 -89850
58 69 29014
59 70 119492
60 71 158376
61 72 -113751
62 73 -18426
63 74 48642
64 75 -44009
65 76 -138199
66 77 -100943
67 78 582
68 79 47613
69 80 -31270
70 81 -3650
71 82 16672
72 83 261849
73 84 82642
74 85 -129518
75 86 -3375
76 87 -67491
77 88 79234
78 89 -211440
79 90 57761
80 91 -147289
81 92 26528
82 93 38293
83 94 56199
84 95 -63496
85 96 167029
86 97 208662
87 98 5849
88 99 -25883
89 100 -90180
90 101 18682
91 102 246414
92 103 -71765
93 104 -63875
94 105 -25888
95 106 192868
96 107 67449
97 108 9448
98 109 -39010
99 110 73556
100 111 -51902
101 112 -45534
102 113 106810
103 114 -6464
104 115 -107982
105 116 82022
106 117 91789
107 118 27242
108 119 113546
109 120 -108716
110 121 123625
111 1 23675
112 2 -81168
113 3 -53649
114 4 98812
115 5 -151825
116 6 -73411
117 7 -137219
118 8 166448
119 9 166055
120 10 -47118
121 11 -101472
