81 162
1 2 47613
2 3 83717
3 4 113545
4 5 -3375
5 6 105846
6 7 -141522
7 8 61277
8 9 -129517
9 1 -44912
10 11 11265
11 12 -65050
12 13 97509
13 14 34080
14 15 73556
15 16 76926
16 17 167029
17 18 74225
18 10 158376
19 20 9448
20 21 -47048
21 22 41429
22 23 99956
23 24 -132898
24 25 -81261
25 26 14464
26 27 -78688
27 19 89771
28 29 -9584
29 30 97685
30 31 34620
31 32 71238
32 33 -76475
33 34 186653
34 35 -75532
35 36 -68133
36 28 -92736
37 38 -80847
38 39 -5774
39 40 -29371
40 41 32948
41 42 42769
42 43 68849
43 44 96999
44 45 -104214
45 37 -10995
46 47 -18974
47 48 -73411
48 49 192867
49 50 -99431
50 51 -73888
51 52 42191
52 53 15307
53 54 110184
54 46 -31270
55 56 -82458
56 57 95004
57 58 91788
58 59 -91314
59 60 208661
60 61 -38461
61 62 -74351
62 63 97329
63 55 18180
64 65 28509
65 66 25723
66 67 166055
67 68 -39009
68 69 129664
69 70 -81168
70 71 -176537
71 72 149000
72 64 103747
73 74 -23323
74 75 42922
75 76 56199
76 77 -145258
77 78 -110609
78 79 39052
79 80 132027
80 81 -100942
81 73 136157
1 10 33770
2 11 -200737
3 12 -22457
4 13 105116
5 14 -71497
6 15 -3650
7 16 97182
8 17 -22715
9 18 -41723
10 19 118346
11 20 -98520
12 21 -166014
13 22 -175606
14 23 -43830
15 24 23675
16 25 261849
17 26 -9476
18 27 246413
19 28 103045
20 29 -63875
21 30 -57934
22 31 -5619
23 32 18228
24 33 132433
25 34 -73075
26 35 -25883
27 36 18681
28 37 -30988
29 38 38120
30 39 37583
31 40 -89850
32 41 195645
33 42 172987
34 43 -69349
35 44 16672
36 45 -138199
37 46 98812
38 47 -190447
39 48 2912
40 49 12915
41 50 -118660
42 51 -51902
43 52 136793
44 53 88255
45 54 31858
46 55 -90180
47 56 44666
48 57 157855
49 58 -49152
50 59 82642
51 60 -58493
52 61 -171964
53 62 -107982
54 63 51112
55 64 -20585
56 65 29014
57 66 -45534
58 67 -138320
59 68 48642
60 69 -107289
61 70 75597
62 71 -40116
63 72 34762
64 73 -113751
65 74 -16823
66 75 166448
67 76 -108716
68 77 157958
69 78 22018
70 79 34545
71 80 71786
72 81 -47118
73 1 -5526
74 2 79234
75 3 -161932
76 4 5849
77 5 177465
78 6 -59089
79 7 -60431
80 8 109317
81 9 123625
