196 392 
1 2 -1
2 3 -1
3 4 1
4 5 1
5 6 1
6 7 -1
7 8 1
8 9 -1
9 10 1
10 11 -1
11 12 1
12 13 1
13 14 -1
14 1 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 -1
21 22 1
22 23 -1
23 24 -1
24 25 -1
25 26 1
26 27 1
27 28 -1
28 15 1
29 30 1
30 31 1
31 32 -1
32 33 1
33 34 -1
34 35 1
35 36 -1
36 37 1
37 38 1
38 39 -1
39 40 -1
40 41 1
41 42 -1
42 29 -1
43 44 -1
44 45 1
45 46 -1
46 47 -1
47 48 1
48 49 1
49 50 -1
50 51 1
51 52 -1
52 53 1
53 54 -1
54 55 -1
55 56 -1
56 43 -1
57 58 1
58 59 1
59 60 -1
60 61 1
61 62 -1
62 63 1
63 64 -1
64 65 1
65 66 1
66 67 -1
67 68 1
68 69 -1
69 70 -1
70 57 1
71 72 1
72 73 1
73 74 -1
74 75 -1
75 76 -1
76 77 1
77 78 -1
78 79 1
79 80 -1
80 81 1
81 82 1
82 83 -1
83 84 1
84 71 1
85 86 -1
86 87 1
87 88 -1
88 89 -1
89 90 1
90 91 1
91 92 -1
92 93 -1
93 94 -1
94 95 -1
95 96 -1
96 97 -1
97 98 1
98 85 -1
99 100 -1
100 101 -1
101 102 1
102 103 1
103 104 1
104 105 -1
105 106 1
106 107 -1
107 108 1
108 109 -1
109 110 -1
110 111 1
111 112 -1
112 99 1
113 114 -1
114 115 -1
115 116 -1
116 117 -1
117 118 -1
118 119 1
119 120 -1
120 121 1
121 122 -1
122 123 -1
123 124 -1
124 125 -1
125 126 -1
126 113 1
127 128 1
128 129 -1
129 130 -1
130 131 1
131 132 1
132 133 -1
133 134 -1
134 135 -1
135 136 -1
136 137 -1
137 138 -1
138 139 -1
139 140 1
140 127 1
141 142 -1
142 143 1
143 144 -1
144 145 -1
145 146 1
146 147 -1
147 148 1
148 149 1
149 150 -1
150 151 1
151 152 -1
152 153 1
153 154 1
154 141 1
155 156 -1
156 157 1
157 158 -1
158 159 1
159 160 -1
160 161 1
161 162 1
162 163 1
163 164 1
164 165 1
165 166 -1
166 167 1
167 168 1
168 155 -1
169 170 -1
170 171 -1
171 172 1
172 173 -1
173 174 -1
174 175 -1
175 176 -1
176 177 -1
177 178 -1
178 179 1
179 180 -1
180 181 -1
181 182 1
182 169 -1
183 184 1
184 185 -1
185 186 -1
186 187 1
187 188 1
188 189 -1
189 190 1
190 191 -1
191 192 -1
192 193 -1
193 194 1
194 195 1
195 196 -1
196 183 1
1 15 1
2 16 -1
3 17 1
4 18 1
5 19 -1
6 20 1
7 21 1
8 22 -1
9 23 -1
10 24 1
11 25 -1
12 26 -1
13 27 -1
14 28 1
15 29 1
16 30 -1
17 31 1
18 32 -1
19 33 1
20 34 -1
21 35 -1
22 36 1
23 37 1
24 38 1
25 39 -1
26 40 1
27 41 -1
28 42 1
29 43 1
30 44 -1
31 45 1
32 46 -1
33 47 1
34 48 -1
35 49 1
36 50 -1
37 51 -1
38 52 1
39 53 1
40 54 1
41 55 1
42 56 -1
43 57 -1
44 58 -1
45 59 1
46 60 -1
47 61 1
48 62 1
49 63 -1
50 64 1
51 65 -1
52 66 1
53 67 1
54 68 -1
55 69 1
56 70 -1
57 71 -1
58 72 1
59 73 -1
60 74 1
61 75 -1
62 76 -1
63 77 -1
64 78 1
65 79 1
66 80 1
67 81 -1
68 82 1
69 83 1
70 84 -1
71 85 1
72 86 -1
73 87 1
74 88 -1
75 89 1
76 90 1
77 91 -1
78 92 -1
79 93 1
80 94 -1
81 95 1
82 96 1
83 97 -1
84 98 1
85 99 1
86 100 1
87 101 -1
88 102 -1
89 103 -1
90 104 -1
91 105 -1
92 106 -1
93 107 -1
94 108 1
95 109 -1
96 110 1
97 111 1
98 112 -1
99 113 1
100 114 -1
101 115 1
102 116 -1
103 117 1
104 118 1
105 119 -1
106 120 1
107 121 -1
108 122 -1
109 123 1
110 124 -1
111 125 1
112 126 1
113 127 1
114 128 1
115 129 1
116 130 1
117 131 -1
118 132 1
119 133 1
120 134 1
121 135 1
122 136 1
123 137 -1
124 138 1
125 139 1
126 140 -1
127 141 1
128 142 -1
129 143 -1
130 144 1
131 145 1
132 146 1
133 147 -1
134 148 1
135 149 -1
136 150 1
137 151 1
138 152 -1
139 153 -1
140 154 1
141 155 1
142 156 -1
143 157 -1
144 158 1
145 159 1
146 160 1
147 161 -1
148 162 1
149 163 1
150 164 -1
151 165 1
152 166 1
153 167 -1
154 168 1
155 169 1
156 170 -1
157 171 -1
158 172 1
159 173 1
160 174 -1
161 175 1
162 176 -1
163 177 -1
164 178 -1
165 179 1
166 180 -1
167 181 1
168 182 -1
169 183 1
170 184 -1
171 185 -1
172 186 1
173 187 1
174 188 -1
175 189 -1
176 190 -1
177 191 -1
178 192 1
179 193 -1
180 194 1
181 195 1
182 196 -1
183 1 1
184 2 1
185 3 1
186 4 -1
187 5 1
188 6 -1
189 7 -1
190 8 -1
191 9 -1
192 10 1
193 11 -1
194 12 -1
195 13 1
196 14 1
