40	780
0	0	1
1	0	2
1	1	3
2	0	0
2	1	0
2	2	2
3	0	0
3	1	0
3	2	2
3	3	1
4	0	0
4	1	0
4	2	2
4	3	0
4	4	3
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
6	0	0
6	1	0
6	2	2
6	3	2
6	4	0
6	5	2
6	6	4
7	0	0
7	1	0
7	2	2
7	3	2
7	4	4
7	5	0
7	6	6
7	7	5
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	2
8	7	2
8	8	2
9	0	0
9	1	0
9	2	0
9	3	0
9	4	2
9	5	2
9	6	4
9	7	4
9	8	0
9	9	5
10	0	0
10	1	0
10	2	0
10	3	0
10	4	0
10	5	0
10	6	2
10	7	2
10	8	2
10	9	4
10	10	3
11	0	0
11	1	0
11	2	0
11	3	0
11	4	0
11	5	2
11	6	2
11	7	0
11	8	2
11	9	6
11	10	4
11	11	5
12	0	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	2
12	7	2
12	8	0
12	9	6
12	10	4
12	11	4
12	12	4
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	2
13	9	2
13	10	2
13	11	6
13	12	4
13	13	5
14	0	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	2
14	12	0
14	13	4
14	14	3
15	0	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	0
15	8	0
15	9	2
15	10	2
15	11	2
15	12	4
15	13	2
15	14	2
15	15	3
16	0	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	0
16	7	0
16	8	0
16	9	0
16	10	0
16	11	0
16	12	2
16	13	2
16	14	2
16	15	4
16	16	2
17	0	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	0
17	7	0
17	8	0
17	9	0
17	10	0
17	11	0
17	12	2
17	13	2
17	14	0
17	15	2
17	16	2
17	17	2
18	0	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	0
18	8	0
18	9	0
18	10	0
18	11	0
18	12	0
18	13	0
18	14	2
18	15	2
18	16	2
18	17	0
18	18	4
19	0	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	0
19	14	0
19	15	0
19	16	0
19	17	0
19	18	2
19	19	2
20	0	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	0
20	7	0
20	8	0
20	9	0
20	10	0
20	11	0
20	12	0
20	13	0
20	14	0
20	15	0
20	16	0
20	17	0
20	18	0
20	19	0
20	20	2
21	0	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0
21	7	0
21	8	0
21	9	0
21	10	0
21	11	0
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	2
21	19	2
