30	465
0	0	0.8
1	0	0.4
1	1	1.4
2	0	0
2	1	-0.4
2	2	0.6
3	0	-0.4
3	1	-0.4
3	2	1.26E-17
3	3	1.2
4	0	0.4
4	1	0.4
4	2	-0.4
4	3	0.4
4	4	1.2
5	0	1.26E-17
5	1	-1.26E-17
5	2	0
5	3	0.4
5	4	-1.2
5	5	1.2
6	0	0
6	1	-0.4
6	2	0.4
6	3	0.8
6	4	0.4
6	5	0.4
6	6	1
7	0	-0.4
7	1	-0.4
7	2	0
7	3	0.4
7	4	0.4
7	5	-0.4
7	6	-0.4
7	7	0.6
8	0	0.8
8	1	0
8	2	0
8	3	0.4
8	4	-1.26E-17
8	5	0.8
8	6	0.4
8	7	0
8	8	0.6
9	0	0
9	1	0.8
9	2	-0.4
9	3	0.8
9	4	-0.4
9	5	0.8
9	6	-0.4
9	7	-0.8
9	8	0
9	9	1.2
10	0	-1.26E-17
10	1	-0.4
10	2	0.4
10	3	-0.4
10	4	0.4
10	5	-0.8
10	6	-0.4
10	7	0
10	8	-0.8
10	9	1.26E-17
10	10	1
11	0	-0.8
11	1	-0.4
11	2	0.4
11	3	1.26E-17
11	4	-0.8
11	5	-1.26E-17
11	6	1.26E-17
11	7	-0.4
11	8	-0.8
11	9	0.4
11	10	1.26E-17
11	11	1.2
12	0	-0.4
12	1	-0.8
12	2	0.4
12	3	0.4
12	4	-1.26E-17
12	5	-1.26E-17
12	6	-0.4
12	7	0.8
12	8	0.4
12	9	1.26E-17
12	10	-0.4
12	11	1.26E-17
12	12	1.2
13	0	0.4
13	1	0.4
13	2	0
13	3	0
13	4	0.8
13	5	-0.4
13	6	0.4
13	7	0
13	8	0
13	9	-0.4
13	10	0.4
13	11	-0.8
13	12	-0.8
13	13	0.4
14	0	0.8
14	1	0.4
14	2	-0.4
14	3	0
14	4	0.4
14	5	1.26E-17
14	6	-0.4
14	7	1.26E-17
14	8	0.4
14	9	-1.26E-17
14	10	0.4
14	11	-0.8
14	12	-0.8
14	13	0.4
14	14	1.2
15	0	0.8
15	1	0.4
15	2	0
15	3	-0.4
15	4	0.4
15	5	0.8
15	6	0.4
15	7	0
15	8	0.8
15	9	-0.4
15	10	-0.4
15	11	-1.2
15	12	-1.26E-17
15	13	0.4
15	14	0.4
15	15	0.8
16	0	-0.4
16	1	-0.4
16	2	-1.26E-17
16	3	-1.26E-17
16	4	1.26E-17
16	5	0
16	6	0.4
16	7	0.4
16	8	0
16	9	-0.8
16	10	0.4
16	11	-0.8
16	12	-0.4
16	13	0.4
16	14	0.4
16	15	0.4
16	16	0.8
17	0	-0.4
17	1	-0.4
17	2	0
17	3	0.4
17	4	0.4
17	5	-0.4
17	6	-0.4
17	7	1.2
17	8	0
17	9	-0.8
17	10	0
17	11	-0.4
17	12	0.8
17	13	0
17	14	1.26E-17
17	15	0
17	16	0.4
17	17	0.6
18	0	0
18	1	0.8
18	2	1.26E-17
18	3	0.8
18	4	-1.26E-17
18	5	1.26E-17
18	6	0
18	7	-0.4
18	8	0
18	9	0.8
18	10	-0.4
18	11	0
18	12	1.26E-17
18	13	0
18	14	-0.4
18	15	-0.4
18	16	-0.8
18	17	-0.4
18	18	1
19	0	0.4
19	1	0.4
19	2	-0.4
19	3	0
19	4	1.2
19	5	-0.8
19	6	0
19	7	0
19	8	-1.26E-17
19	9	0
19	10	0.8
19	11	-0.4
19	12	-0.4
19	13	0.4
19	14	1.2
19	15	-1.26E-17
19	16	0.4
19	17	0
19	18	-0.4
19	19	0.8
20	0	0
20	1	0
20	2	-0.4
20	3	-0.8
20	4	0
20	5	-0.4
20	6	-1.2
20	7	0.4
20	8	-0.4
20	9	-0.4
20	10	0.4
20	11	-0.4
20	12	0
20	13	0
20	14	0.4
20	15	0
20	16	0
20	17	0.4
20	18	0
20	19	0
20	20	0.6
21	0	0
21	1	-0.4
21	2	0.4
21	3	1.26E-17
21	4	-0.8
21	5	0
21	6	-0.8
21	7	0.4
21	8	0
21	9	1.26E-17
21	10	0.4
21	11	0.8
21	12	1.26E-17
21	13	-0.4
21	14	1.2
21	15	-0.4
21	16	0.4
21	17	0.4
21	18	-1.2
21	19	0.4
21	20	-1.26E-17
21	21	1.4
22	0	0.8
22	1	-0.4
22	2	0
22	3	-0.4
22	4	0.4
22	5	0.4
22	6	0
22	7	0.4
22	8	0.8
22	9	-0.4
22	10	-0.4
22	11	-0.8
22	12	0.8
22	13	0
22	14	0.4
22	15	1.2
22	16	0
22	17	0.4
22	18	-1.2
22	19	-1.26E-17
22	20	0
22	21	0.4
22	22	1
23	0	0.4
23	1	0.8
23	2	0
23	3	-1.26E-17
23	4	0.8
23	5	-0.8
23	6	-0.8
23	7	0.8
23	8	0.4
23	9	-0.4
23	10	-1.26E-17
23	11	-1.2
23	12	0.4
23	13	0.4
23	14	1.6
23	15	0.4
23	16	0.4
23	17	0.8
23	18	-0.4
23	19	0.8
23	20	0.4
23	21	1.2
23	22	0.8
23	23	1.4
24	0	0.4
24	1	0
24	2	-0.4
24	3	-0.4
24	4	1.2
24	5	-0.8
24	6	-1.2
24	7	0.4
24	8	-0.4
24	9	0
24	10	1.6
24	11	-0.8
24	12	0
24	13	0.4
24	14	1.2
24	15	0
24	16	0
24	17	0.4
24	18	0
24	19	1.2
24	20	1.2
24	21	-1.26E-17
24	22	0
24	23	0.8
24	24	1.4
25	0	-0.4
25	1	-0.8
25	2	0
25	3	-1.26E-17
25	4	1.26E-17
25	5	-1.2
25	6	0.4
25	7	0.4
25	8	-0.4
25	9	-1.2
25	10	-0.4
25	11	0.4
25	12	1.26E-17
25	13	0
25	14	-0.8
25	15	-0.8
25	16	0
25	17	0.4
25	18	-1.26E-17
25	19	-0.4
25	20	0
25	21	-0.4
25	22	-0.4
25	23	-0.4
25	24	-0.8
25	25	1
26	0	-1.26E-17
26	1	-0.4
26	2	-0.4
26	3	0.8
26	4	1.2
26	5	-0.4
26	6	-1.26E-17
26	7	0.8
26	8	-1.26E-17
26	9	-0.4
26	10	0.8
26	11	1.26E-17
26	12	-0.4
26	13	0.4
26	14	0.8
26	15	-0.4
26	16	0.4
26	17	0.8
26	18	-0.8
26	19	1.2
26	20	1.26E-17
26	21	0.8
26	22	0
26	23	0.4
26	24	1.2
26	25	-1.26E-17
26	26	1.4
27	0	-0.8
27	1	0.4
27	2	0
27	3	-0.4
27	4	0.4
27	5	-1.2
27	6	-0.4
27	7	0.4
27	8	-0.8
27	9	-0.4
27	10	0.4
27	11	0
27	12	0.4
27	13	0
27	14	0
27	15	-0.4
27	16	0.4
27	17	0.4
27	18	0
27	19	0.4
27	20	0.4
27	21	0
27	22	-0.4
27	23	0.8
27	24	0.4
27	25	0.4
27	26	-0.4
27	27	0.8
28	0	0.8
28	1	-1.26E-17
28	2	0
28	3	0
28	4	-1.26E-17
28	5	1.26E-17
28	6	0.4
28	7	0
28	8	0.4
28	9	-0.4
28	10	-1.26E-17
28	11	-0.8
28	12	-0.4
28	13	0.4
28	14	0.4
28	15	0.4
28	16	0
28	17	0
28	18	0
28	19	-1.26E-17
28	20	0
28	21	-0.4
28	22	0.4
28	23	-1.26E-17
28	24	-1.26E-17
28	25	0.4
28	26	-1.26E-17
28	27	-0.4
28	28	0.6
29	0	-0.4
29	1	-0.4
29	2	0
29	3	0
29	4	-1.26E-17
29	5	-0.4
29	6	-0.4
29	7	0.4
29	8	-0.4
29	9	-0.4
29	10	0.4
29	11	0.8
29	12	0.4
29	13	-0.4
29	14	0.4
29	15	-0.8
29	16	-0.4
29	17	0.4
29	18	0
29	19	0.4
29	20	0.4
29	21	0.4
29	22	-0.4
29	23	1.26E-17
29	24	0.8
29	25	0.4
29	26	0.8
29	27	0.4
29	28	-1.26E-17
29	29	0.8
