100 390
1 2 1
1 3 1
1 4 1
1 5 1
2 3 -1
2 4 -1
2 5 -1
2 6 -1
3 4 1
3 5 1
3 6 1
3 7 1
4 5 -1
4 6 -1
4 7 -1
4 8 -1
5 6 1
5 7 1
5 8 1
5 9 1
6 7 -1
6 8 -1
6 9 -1
6 10 -1
7 8 1
7 9 1
7 10 1
7 11 1
8 9 -1
8 10 -1
8 11 -1
8 12 -1
9 10 1
9 11 1
9 12 1
9 13 1
10 11 -1
10 12 -1
10 13 -1
10 14 -1
11 12 1
11 13 1
11 14 1
11 15 1
12 13 -1
12 14 -1
12 15 -1
12 16 -1
13 14 1
13 15 1
13 16 1
13 17 1
14 15 -1
14 16 -1
14 17 -1
14 18 -1
15 16 1
15 17 1
15 18 1
15 19 1
16 17 -1
16 18 -1
16 19 -1
16 20 -1
17 18 1
17 19 1
17 20 1
17 21 1
18 19 -1
18 20 -1
18 21 -1
18 22 -1
19 20 1
19 21 1
19 22 1
19 23 1
20 21 -1
20 22 -1
20 23 -1
20 24 -1
21 22 1
21 23 1
21 24 1
21 25 1
22 23 -1
22 24 -1
22 25 -1
22 26 -1
23 24 1
23 25 1
23 26 1
23 27 1
24 25 -1
24 26 -1
24 27 -1
24 28 -1
25 26 1
25 27 1
25 28 1
25 29 1
26 27 -1
26 28 -1
26 29 -1
26 30 -1
27 28 1
27 29 1
27 30 1
27 31 1
28 29 -1
28 30 -1
28 31 -1
28 32 -1
29 30 1
29 31 1
29 32 1
29 33 1
30 31 -1
30 32 -1
30 33 -1
30 34 -1
31 32 1
31 33 1
31 34 1
31 35 1
32 33 -1
32 34 -1
32 35 -1
32 36 -1
33 34 1
33 35 1
33 36 1
33 37 1
34 35 -1
34 36 -1
34 37 -1
34 38 -1
35 36 1
35 37 1
35 38 1
35 39 1
36 37 -1
36 38 -1
36 39 -1
36 40 -1
37 38 1
37 39 1
37 40 1
37 41 1
38 39 -1
38 40 -1
38 41 -1
38 42 -1
39 40 1
39 41 1
39 42 1
39 43 1
40 41 -1
40 42 -1
40 43 -1
40 44 -1
41 42 1
41 43 1
41 44 1
41 45 1
42 43 -1
42 44 -1
42 45 -1
42 46 -1
43 44 1
43 45 1
43 46 1
43 47 1
44 45 -1
44 46 -1
44 47 -1
44 48 -1
45 46 1
45 47 1
45 48 1
45 49 1
46 47 -1
46 48 -1
46 49 -1
46 50 -1
47 48 1
47 49 1
47 50 1
47 51 1
48 49 -1
48 50 -1
48 51 -1
48 52 -1
49 50 1
49 51 1
49 52 1
49 53 1
50 51 -1
50 52 -1
50 53 -1
50 54 -1
51 52 1
51 53 1
51 54 1
51 55 1
52 53 -1
52 54 -1
52 55 -1
52 56 -1
53 54 1
53 55 1
53 56 1
53 57 1
54 55 -1
54 56 -1
54 57 -1
54 58 -1
55 56 1
55 57 1
55 58 1
55 59 1
56 57 -1
56 58 -1
56 59 -1
56 60 -1
57 58 1
57 59 1
57 60 1
57 61 1
58 59 -1
58 60 -1
58 61 -1
58 62 -1
59 60 1
59 61 1
59 62 1
59 63 1
60 61 -1
60 62 -1
60 63 -1
60 64 -1
61 62 1
61 63 1
61 64 1
61 65 1
62 63 -1
62 64 -1
62 65 -1
62 66 -1
63 64 1
63 65 1
63 66 1
63 67 1
64 65 -1
64 66 -1
64 67 -1
64 68 -1
65 66 1
65 67 1
65 68 1
65 69 1
66 67 -1
66 68 -1
66 69 -1
66 70 -1
67 68 1
67 69 1
67 70 1
67 71 1
68 69 -1
68 70 -1
68 71 -1
68 72 -1
69 70 1
69 71 1
69 72 1
69 73 1
70 71 -1
70 72 -1
70 73 -1
70 74 -1
71 72 1
71 73 1
71 74 1
71 75 1
72 73 -1
72 74 -1
72 75 -1
72 76 -1
73 74 1
73 75 1
73 76 1
73 77 1
74 75 -1
74 76 -1
74 77 -1
74 78 -1
75 76 1
75 77 1
75 78 1
75 79 1
76 77 -1
76 78 -1
76 79 -1
76 80 -1
77 78 1
77 79 1
77 80 1
77 81 1
78 79 -1
78 80 -1
78 81 -1
78 82 -1
79 80 1
79 81 1
79 82 1
79 83 1
80 81 -1
80 82 -1
80 83 -1
80 84 -1
81 82 1
81 83 1
81 84 1
81 85 1
82 83 -1
82 84 -1
82 85 -1
82 86 -1
83 84 1
83 85 1
83 86 1
83 87 1
84 85 -1
84 86 -1
84 87 -1
84 88 -1
85 86 1
85 87 1
85 88 1
85 89 1
86 87 -1
86 88 -1
86 89 -1
86 90 -1
87 88 1
87 89 1
87 90 1
87 91 1
88 89 -1
88 90 -1
88 91 -1
88 92 -1
89 90 1
89 91 1
89 92 1
89 93 1
90 91 -1
90 92 -1
90 93 -1
90 94 -1
91 92 1
91 93 1
91 94 1
91 95 1
92 93 -1
92 94 -1
92 95 -1
92 96 -1
93 94 1
93 95 1
93 96 1
93 97 1
94 95 -1
94 96 -1
94 97 -1
94 98 -1
95 96 1
95 97 1
95 98 1
95 99 1
96 97 -1
96 98 -1
96 99 -1
96 100 -1
97 98 1
97 99 1
97 100 1
98 99 -1
98 100 -1
99 100 1
