50 144
1 2 1
1 3 1
1 4 1
2 3 -1
2 4 -1
2 5 -1
3 4 1
3 5 1
3 6 1
4 5 -1
4 6 -1
4 7 -1
5 6 1
5 7 1
5 8 1
6 7 -1
6 8 -1
6 9 -1
7 8 1
7 9 1
7 10 1
8 9 -1
8 10 -1
8 11 -1
9 10 1
9 11 1
9 12 1
10 11 -1
10 12 -1
10 13 -1
11 12 1
11 13 1
11 14 1
12 13 -1
12 14 -1
12 15 -1
13 14 1
13 15 1
13 16 1
14 15 -1
14 16 -1
14 17 -1
15 16 1
15 17 1
15 18 1
16 17 -1
16 18 -1
16 19 -1
17 18 1
17 19 1
17 20 1
18 19 -1
18 20 -1
18 21 -1
19 20 1
19 21 1
19 22 1
20 21 -1
20 22 -1
20 23 -1
21 22 1
21 23 1
21 24 1
22 23 -1
22 24 -1
22 25 -1
23 24 1
23 25 1
23 26 1
24 25 -1
24 26 -1
24 27 -1
25 26 1
25 27 1
25 28 1
26 27 -1
26 28 -1
26 29 -1
27 28 1
27 29 1
27 30 1
28 29 -1
28 30 -1
28 31 -1
29 30 1
29 31 1
29 32 1
30 31 -1
30 32 -1
30 33 -1
31 32 1
31 33 1
31 34 1
32 33 -1
32 34 -1
32 35 -1
33 34 1
33 35 1
33 36 1
34 35 -1
34 36 -1
34 37 -1
35 36 1
35 37 1
35 38 1
36 37 -1
36 38 -1
36 39 -1
37 38 1
37 39 1
37 40 1
38 39 -1
38 40 -1
38 41 -1
39 40 1
39 41 1
39 42 1
40 41 -1
40 42 -1
40 43 -1
41 42 1
41 43 1
41 44 1
42 43 -1
42 44 -1
42 45 -1
43 44 1
43 45 1
43 46 1
44 45 -1
44 46 -1
44 47 -1
45 46 1
45 47 1
45 48 1
46 47 -1
46 48 -1
46 49 -1
47 48 1
47 49 1
47 50 1
48 49 -1
48 50 -1
49 50 -1
