324 612 
1 19 1
1 2 1
2 20 1
2 3 1
3 21 1
3 4 1
4 22 1
4 5 1
5 23 1
5 6 1
6 24 1
6 7 1
7 25 1
7 8 1
8 26 1
8 9 1
9 27 1
9 10 1
10 28 1
10 11 1
11 29 1
11 12 1
12 30 1
12 13 1
13 31 1
13 14 1
14 32 1
14 15 1
15 33 1
15 16 1
16 34 1
16 17 1
17 35 1
17 18 1
18 36 1
19 37 1
19 20 1
20 38 1
20 21 1
21 39 1
21 22 1
22 40 1
22 23 1
23 41 1
23 24 1
24 42 1
24 25 1
25 43 1
25 26 1
26 44 1
26 27 1
27 45 1
27 28 1
28 46 1
28 29 1
29 47 1
29 30 1
30 48 1
30 31 1
31 49 1
31 32 1
32 50 1
32 33 1
33 51 1
33 34 1
34 52 1
34 35 1
35 53 1
35 36 1
36 54 1
37 55 1
37 38 1
38 56 1
38 39 1
39 57 1
39 40 1
40 58 1
40 41 1
41 59 1
41 42 1
42 60 1
42 43 1
43 61 1
43 44 1
44 62 1
44 45 1
45 63 1
45 46 1
46 64 1
46 47 1
47 65 1
47 48 1
48 66 1
48 49 1
49 67 1
49 50 1
50 68 1
50 51 1
51 69 1
51 52 1
52 70 1
52 53 1
53 71 1
53 54 1
54 72 1
55 73 1
55 56 1
56 74 1
56 57 1
57 75 1
57 58 1
58 76 1
58 59 1
59 77 1
59 60 1
60 78 1
60 61 1
61 79 1
61 62 1
62 80 1
62 63 1
63 81 1
63 64 1
64 82 1
64 65 1
65 83 1
65 66 1
66 84 1
66 67 1
67 85 1
67 68 1
68 86 1
68 69 1
69 87 1
69 70 1
70 88 1
70 71 1
71 89 1
71 72 1
72 90 1
73 91 1
73 74 1
74 92 1
74 75 1
75 93 1
75 76 1
76 94 1
76 77 1
77 95 1
77 78 1
78 96 1
78 79 1
79 97 1
79 80 1
80 98 1
80 81 1
81 99 1
81 82 1
82 100 1
82 83 1
83 101 1
83 84 1
84 102 1
84 85 1
85 103 1
85 86 1
86 104 1
86 87 1
87 105 1
87 88 1
88 106 1
88 89 1
89 107 1
89 90 1
90 108 1
91 109 1
91 92 1
92 110 1
92 93 1
93 111 1
93 94 1
94 112 1
94 95 1
95 113 1
95 96 1
96 114 1
96 97 1
97 115 1
97 98 1
98 116 1
98 99 1
99 117 1
99 100 1
100 118 1
100 101 1
101 119 1
101 102 1
102 120 1
102 103 1
103 121 1
103 104 1
104 122 1
104 105 1
105 123 1
105 106 1
106 124 1
106 107 1
107 125 1
107 108 1
108 126 1
109 127 1
109 110 1
110 128 1
110 111 1
111 129 1
111 112 1
112 130 1
112 113 1
113 131 1
113 114 1
114 132 1
114 115 1
115 133 1
115 116 1
116 134 1
116 117 1
117 135 1
117 118 1
118 136 1
118 119 1
119 137 1
119 120 1
120 138 1
120 121 1
121 139 1
121 122 1
122 140 1
122 123 1
123 141 1
123 124 1
124 142 1
124 125 1
125 143 1
125 126 1
126 144 1
127 145 1
127 128 1
128 146 1
128 129 1
129 147 1
129 130 1
130 148 1
130 131 1
131 149 1
131 132 1
132 150 1
132 133 1
133 151 1
133 134 1
134 152 1
134 135 1
135 153 1
135 136 1
136 154 1
136 137 1
137 155 1
137 138 1
138 156 1
138 139 1
139 157 1
139 140 1
140 158 1
140 141 1
141 159 1
141 142 1
142 160 1
142 143 1
143 161 1
143 144 1
144 162 1
145 163 1
145 146 1
146 164 1
146 147 1
147 165 1
147 148 1
148 166 1
148 149 1
149 167 1
149 150 1
150 168 1
150 151 1
151 169 1
151 152 1
152 170 1
152 153 1
153 171 1
153 154 1
154 172 1
154 155 1
155 173 1
155 156 1
156 174 1
156 157 1
157 175 1
157 158 1
158 176 1
158 159 1
159 177 1
159 160 1
160 178 1
160 161 1
161 179 1
161 162 1
162 180 1
163 181 1
163 164 1
164 182 1
164 165 1
165 183 1
165 166 1
166 184 1
166 167 1
167 185 1
167 168 1
168 186 1
168 169 1
169 187 1
169 170 1
170 188 1
170 171 1
171 189 1
171 172 1
172 190 1
172 173 1
173 191 1
173 174 1
174 192 1
174 175 1
175 193 1
175 176 1
176 194 1
176 177 1
177 195 1
177 178 1
178 196 1
178 179 1
179 197 1
179 180 1
180 198 1
181 199 1
181 182 1
182 200 1
182 183 1
183 201 1
183 184 1
184 202 1
184 185 1
185 203 1
185 186 1
186 204 1
186 187 1
187 205 1
187 188 1
188 206 1
188 189 1
189 207 1
189 190 1
190 208 1
190 191 1
191 209 1
191 192 1
192 210 1
192 193 1
193 211 1
193 194 1
194 212 1
194 195 1
195 213 1
195 196 1
196 214 1
196 197 1
197 215 1
197 198 1
198 216 1
199 217 1
199 200 1
200 218 1
200 201 1
201 219 1
201 202 1
202 220 1
202 203 1
203 221 1
203 204 1
204 222 1
204 205 1
205 223 1
205 206 1
206 224 1
206 207 1
207 225 1
207 208 1
208 226 1
208 209 1
209 227 1
209 210 1
210 228 1
210 211 1
211 229 1
211 212 1
212 230 1
212 213 1
213 231 1
213 214 1
214 232 1
214 215 1
215 233 1
215 216 1
216 234 1
217 235 1
217 218 1
218 236 1
218 219 1
219 237 1
219 220 1
220 238 1
220 221 1
221 239 1
221 222 1
222 240 1
222 223 1
223 241 1
223 224 1
224 242 1
224 225 1
225 243 1
225 226 1
226 244 1
226 227 1
227 245 1
227 228 1
228 246 1
228 229 1
229 247 1
229 230 1
230 248 1
230 231 1
231 249 1
231 232 1
232 250 1
232 233 1
233 251 1
233 234 1
