49 84
1 8 1
1 2 1
2 9 1
2 3 1
3 10 1
3 4 1
4 11 1
4 5 1
5 12 1
5 6 1
6 13 1
6 7 1
7 14 1
8 15 1
8 9 1
9 16 1
9 10 1
10 17 1
10 11 1
11 18 1
11 12 1
12 19 1
12 13 1
13 20 1
13 14 1
14 21 1
15 22 1
15 16 1
16 23 1
16 17 1
17 24 1
17 18 1
18 25 1
18 19 1
19 26 1
19 20 1
20 27 1
20 21 1
21 28 1
22 29 1
22 23 1
23 30 1
23 24 1
24 31 1
24 25 1
25 32 1
25 26 1
26 33 1
26 27 1
27 34 1
27 28 1
28 35 1
29 36 1
29 30 1
30 37 1
30 31 1
31 38 1
31 32 1
32 39 1
32 33 1
33 40 1
33 34 1
34 41 1
34 35 1
35 42 1
36 43 1
36 37 1
37 44 1
37 38 1
38 45 1
38 39 1
39 46 1
39 40 1
40 47 1
40 41 1
41 48 1
41 42 1
42 49 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
