100 495 
1 11 1
1 76 1
1 65 1
1 23 1
1 18 1
1 27 1
1 19 1
1 99 1
1 94 1
1 31 1
1 13 1
1 54 1
1 5 1
1 16 1
1 62 1
1 40 1
1 56 1
2 92 1
2 84 1
2 95 1
2 87 1
2 63 1
2 39 1
2 76 1
2 80 1
2 41 1
2 5 1
3 29 1
3 37 1
3 42 1
3 84 1
3 85 1
3 27 1
4 54 1
4 38 1
4 84 1
4 73 1
4 18 1
4 22 1
5 16 1
5 73 1
5 97 1
5 24 1
5 49 1
5 92 1
5 14 1
6 32 1
6 74 1
6 17 1
6 92 1
6 68 1
6 18 1
6 33 1
6 84 1
6 96 1
7 44 1
7 19 1
7 11 1
7 46 1
7 96 1
7 42 1
7 83 1
7 97 1
7 15 1
7 75 1
7 8 1
7 80 1
7 26 1
8 65 1
8 82 1
8 29 1
8 31 1
8 63 1
8 38 1
8 46 1
8 37 1
8 24 1
8 90 1
8 76 1
8 39 1
9 24 1
9 48 1
9 92 1
9 80 1
9 70 1
9 73 1
9 93 1
9 47 1
9 84 1
10 15 1
10 95 1
10 81 1
10 90 1
10 37 1
10 25 1
11 85 1
11 69 1
11 70 1
11 89 1
11 15 1
11 82 1
11 17 1
11 96 1
11 25 1
12 78 1
12 97 1
12 67 1
12 92 1
12 37 1
13 57 1
13 63 1
13 38 1
13 49 1
13 74 1
13 15 1
13 82 1
13 21 1
13 99 1
14 39 1
14 50 1
14 71 1
14 56 1
14 24 1
14 37 1
14 91 1
14 55 1
15 78 1
15 25 1
15 43 1
15 68 1
15 89 1
15 77 1
15 74 1
15 35 1
15 100 1
15 44 1
15 40 1
15 97 1
16 60 1
16 41 1
16 89 1
16 82 1
16 44 1
16 49 1
16 100 1
16 93 1
16 38 1
16 30 1
16 91 1
16 29 1
16 71 1
16 53 1
16 56 1
17 44 1
17 32 1
17 60 1
17 87 1
17 20 1
17 56 1
18 31 1
18 58 1
18 84 1
18 91 1
18 21 1
18 61 1
18 24 1
18 97 1
18 99 1
18 74 1
19 61 1
19 95 1
19 40 1
19 25 1
19 70 1
19 28 1
20 51 1
20 57 1
20 46 1
20 59 1
20 39 1
20 65 1
20 80 1
21 80 1
21 34 1
21 53 1
21 61 1
22 73 1
22 58 1
22 47 1
22 74 1
22 33 1
22 80 1
22 65 1
23 41 1
23 47 1
23 36 1
23 90 1
23 93 1
23 65 1
23 62 1
23 32 1
24 58 1
24 83 1
24 65 1
24 84 1
24 49 1
24 41 1
24 26 1
24 33 1
25 29 1
25 70 1
25 68 1
25 37 1
25 32 1
25 66 1
25 31 1
25 50 1
25 94 1
25 26 1
25 41 1
25 59 1
25 40 1
25 95 1
26 42 1
26 87 1
26 85 1
26 47 1
26 97 1
26 36 1
26 66 1
26 93 1
26 48 1
26 29 1
27 37 1
27 62 1
27 50 1
27 71 1
27 68 1
27 92 1
28 67 1
28 82 1
28 37 1
28 81 1
28 68 1
28 49 1
28 69 1
28 65 1
29 32 1
29 94 1
29 46 1
29 76 1
30 100 1
30 77 1
30 59 1
30 91 1
30 96 1
30 45 1
31 95 1
31 100 1
31 52 1
31 74 1
31 50 1
31 48 1
31 77 1
32 78 1
32 40 1
32 88 1
32 57 1
32 35 1
32 43 1
32 38 1
33 52 1
33 67 1
33 74 1
33 92 1
33 42 1
33 98 1
33 70 1
34 89 1
34 38 1
34 48 1
34 70 1
34 68 1
34 92 1
34 66 1
34 42 1
34 52 1
34 78 1
34 94 1
34 98 1
35 65 1
35 90 1
35 60 1
35 67 1
35 80 1
36 46 1
36 58 1
36 47 1
36 42 1
36 77 1
36 75 1
36 60 1
37 76 1
37 100 1
37 54 1
37 90 1
37 70 1
38 51 1
38 88 1
38 85 1
38 87 1
39 96 1
39 48 1
39 91 1
39 100 1
39 87 1
40 74 1
40 73 1
40 86 1
40 62 1
41 76 1
41 89 1
41 87 1
41 55 1
41 47 1
41 93 1
41 78 1
41 60 1
41 51 1
42 58 1
42 81 1
42 70 1
42 44 1
43 58 1
43 61 1
43 46 1
43 80 1
43 56 1
43 66 1
44 95 1
44 46 1
44 61 1
44 89 1
44 96 1
44 55 1
44 56 1
45 81 1
45 75 1
45 78 1
45 49 1
45 46 1
45 100 1
45 55 1
46 72 1
46 77 1
46 91 1
46 59 1
46 85 1
47 80 1
47 82 1
47 61 1
47 55 1
47 73 1
47 64 1
47 63 1
47 83 1
48 55 1
48 60 1
48 87 1
48 78 1
48 59 1
48 82 1
48 92 1
48 79 1
49 67 1
49 52 1
49 83 1
50 99 1
50 100 1
50 80 1
50 90 1
50 75 1
50 97 1
51 69 1
51 68 1
51 63 1
51 86 1
51 74 1
52 54 1
52 71 1
52 100 1
52 78 1
53 85 1
53 65 1
53 57 1
53 82 1
54 90 1
55 75 1
55 57 1
55 71 1
55 83 1
55 96 1
56 86 1
56 73 1
56 74 1
56 79 1
57 99 1
57 91 1
57 74 1
57 76 1
57 98 1
58 83 1
58 82 1
58 69 1
59 95 1
59 97 1
59 73 1
60 90 1
60 79 1
60 81 1
60 63 1
61 62 1
61 81 1
62 71 1
62 90 1
62 68 1
63 93 1
63 66 1
63 79 1
63 85 1
64 99 1
64 98 1
64 81 1
65 90 1
65 88 1
65 79 1
65 86 1
65 91 1
65 77 1
66 74 1
67 79 1
67 93 1
68 95 1
68 91 1
69 99 1
70 99 1
70 86 1
70 80 1
71 76 1
71 89 1
72 95 1
72 74 1
73 76 1
74 76 1
74 94 1
75 97 1
75 94 1
75 88 1
76 92 1
76 87 1
77 83 1
78 88 1
78 79 1
79 84 1
80 94 1
81 87 1
81 97 1
81 100 1
81 93 1
82 83 1
82 92 1
83 95 1
84 99 1
84 95 1
84 90 1
84 98 1
84 88 1
85 89 1
85 94 1
85 96 1
85 97 1
86 93 1
86 89 1
86 98 1
87 98 1
87 89 1
88 92 1
89 98 1
90 94 1
90 91 1
93 100 1
94 97 1
94 99 1
96 98 1
