121 242 
1 2 -1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 -1
7 8 1
8 9 -1
9 10 -1
10 11 -1
11 1 -1
12 13 1
13 14 1
14 15 1
15 16 -1
16 17 1
17 18 -1
18 19 1
19 20 -1
20 21 1
21 22 1
22 12 1
23 24 -1
24 25 -1
25 26 -1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 -1
31 32 1
32 33 -1
33 23 -1
34 35 -1
35 36 1
36 37 -1
37 38 1
38 39 1
39 40 -1
40 41 1
41 42 1
42 43 -1
43 44 -1
44 34 1
45 46 -1
46 47 -1
47 48 1
48 49 1
49 50 -1
50 51 1
51 52 -1
52 53 1
53 54 -1
54 55 -1
55 45 1
56 57 1
57 58 -1
58 59 1
59 60 -1
60 61 -1
61 62 -1
62 63 1
63 64 1
64 65 1
65 66 1
66 56 -1
67 68 -1
68 69 1
69 70 1
70 71 -1
71 72 -1
72 73 -1
73 74 -1
74 75 -1
75 76 1
76 77 -1
77 67 -1
78 79 -1
79 80 1
80 81 -1
81 82 -1
82 83 1
83 84 1
84 85 -1
85 86 1
86 87 1
87 88 1
88 78 -1
89 90 -1
90 91 1
91 92 -1
92 93 -1
93 94 1
94 95 1
95 96 1
96 97 -1
97 98 1
98 99 1
99 89 1
100 101 -1
101 102 -1
102 103 1
103 104 -1
104 105 -1
105 106 -1
106 107 1
107 108 1
108 109 1
109 110 1
110 100 1
111 112 -1
112 113 1
113 114 -1
114 115 1
115 116 1
116 117 -1
117 118 -1
118 119 1
119 120 1
120 121 -1
121 111 -1
1 12 -1
2 13 1
3 14 -1
4 15 1
5 16 -1
6 17 1
7 18 1
8 19 1
9 20 1
10 21 1
11 22 -1
12 23 -1
13 24 1
14 25 -1
15 26 -1
16 27 -1
17 28 1
18 29 -1
19 30 1
20 31 -1
21 32 -1
22 33 1
23 34 1
24 35 -1
25 36 -1
26 37 1
27 38 1
28 39 -1
29 40 1
30 41 -1
31 42 1
32 43 1
33 44 -1
34 45 -1
35 46 1
36 47 1
37 48 1
38 49 -1
39 50 -1
40 51 1
41 52 1
42 53 1
43 54 1
44 55 1
45 56 1
46 57 1
47 58 -1
48 59 -1
49 60 1
50 61 -1
51 62 -1
52 63 -1
53 64 -1
54 65 1
55 66 1
56 67 1
57 68 -1
58 69 1
59 70 -1
60 71 1
61 72 -1
62 73 -1
63 74 -1
64 75 -1
65 76 -1
66 77 1
67 78 -1
68 79 -1
69 80 -1
70 81 -1
71 82 -1
72 83 -1
73 84 -1
74 85 1
75 86 1
76 87 -1
77 88 -1
78 89 1
79 90 1
80 91 1
81 92 1
82 93 -1
83 94 -1
84 95 -1
85 96 1
86 97 1
87 98 -1
88 99 -1
89 100 -1
90 101 -1
91 102 1
92 103 1
93 104 -1
94 105 -1
95 106 1
96 107 -1
97 108 1
98 109 1
99 110 -1
100 111 -1
101 112 1
102 113 1
103 114 -1
104 115 -1
105 116 1
106 117 -1
107 118 1
108 119 -1
109 120 -1
110 121 1
111 1 -1
112 2 1
113 3 1
114 4 1
115 5 -1
116 6 1
117 7 1
118 8 1
119 9 -1
120 10 -1
121 11 1
