45 135 
1 2 110184
2 3 -74351
3 1 -31270
4 5 -81168
5 6 -47048
6 4 18227
7 8 -73411
8 9 -58492
9 7 34620
1 4 -45533
2 5 136793
3 6 166447
4 7 -22715
5 8 -3650
6 9 -73888
7 1 -107288
8 2 -129517
9 3 28509
1 10 71786
2 11 97509
3 12 31858
4 13 -47118
5 14 51111
6 15 33769
7 16 48641
8 17 -68133
9 18 -141522
10 11 -107981
11 12 14464
12 10 166055
13 14 73556
14 15 44666
15 13 11265
16 17 195644
17 18 136156
18 16 -39009
10 13 -145258
11 14 -81261
12 15 149000
13 16 -176537
14 17 157957
15 18 -113751
16 10 -75532
17 11 61277
18 12 -82458
10 19 -30987
11 20 -16823
12 21 29014
13 22 23675
14 23 -3375
15 24 12915
16 25 98812
17 26 -60431
18 27 -110609
19 20 -49152
20 21 -190447
21 19 177464
22 23 22018
23 24 47613
24 22 34762
25 26 2912
26 27 167029
27 25 89771
19 22 -23323
20 23 -108716
21 24 97182
22 25 113545
23 26 -9584
24 27 -9476
25 19 105116
26 20 -20585
27 21 -5774
19 28 -99431
20 29 -118659
21 30 -51902
22 31 97685
23 32 74225
24 33 103747
25 34 186653
26 35 18180
27 36 76926
28 29 5849
29 30 158376
30 28 83717
31 32 -100942
32 33 -71497
33 31 97330
34 35 -90180
35 36 34080
36 34 42922
28 31 68849
29 32 -104214
30 33 103045
31 34 -138320
32 35 -57934
33 36 -138198
34 28 208661
35 29 172987
36 30 -25883
28 37 42192
29 38 -171964
30 39 192868
31 40 38120
32 41 96999
33 42 56199
34 43 39052
35 44 -38461
36 45 -5526
37 38 -29372
38 39 -22457
39 37 75597
40 41 118346
41 42 123625
42 40 88255
43 44 -43830
44 45 105847
45 43 -76475
37 40 -41723
38 41 -18975
39 42 -44913
40 43 -10995
41 44 157855
42 45 -89850
43 37 95004
44 38 41429
45 39 -78688
37 1 -40116
38 2 -5619
39 3 -132898
40 4 -175606
41 5 -92736
42 6 16672
43 7 -69349
44 8 -166014
45 9 9448
