datetime, load_1_phase_1, load_2_phase_1, load_3_phase_2, load_3_phase_3, load_4_phase_1
2017-09-01 00:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 01:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 02:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 03:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 04:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 05:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 06:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 07:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 08:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 09:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 10:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 11:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 12:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 13:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 14:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 15:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 16:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 17:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 18:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 19:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 20:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 21:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 22:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
2017-09-01 23:00:00, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000000 + 0.000000im, 0.000103 + 2.68383e-5im, 0.000103 + 2.68383e-5im
